"pokemonId","moveName"
"1-n1","たいあたり"
"1-n1","なきごえ"
"1-n1","やどりぎのタネ"
"1-n1","つるのムチ"
"1-n1","どくのこな"
"1-n1","ねむりごな"
"1-n1","とっしん"
"1-n1","はっぱカッター"
"1-n1","あまいかおり"
"1-n1","せいちょう"
"1-n1","すてみタックル"
"1-n1","なやみのタネ"
"1-n1","こうごうせい"
"1-n1","タネばくだん"
"1-n1","ふるいたてる"
"1-n1","どくどく"
"1-n1","ベノムショック"
"1-n1","めざめるパワー"
"1-n1","にほんばれ"
"1-n1","ひかりのかべ"
"1-n1","まもる"
"1-n1","しんぴのまもり"
"1-n1","やつあたり"
"1-n1","ソーラービーム"
"1-n1","おんがえし"
"1-n1","かげぶんしん"
"1-n1","ヘドロばくだん"
"1-n1","からげんき"
"1-n1","ねむる"
"1-n1","メロメロ"
"1-n1","りんしょう"
"1-n1","エコーボイス"
"1-n1","エナジーボール"
"1-n1","つるぎのまい"
"1-n1","くさむすび"
"1-n1","いばる"
"1-n1","ねごと"
"1-n1","みがわり"
"1-n1","しぜんのちから"
"1-n1","ないしょばなし"
"1-n1","はなびらのまい"
"1-n1","ヘドロこうげき"
"1-n1","ロケットずつき"
"1-n1","ドわすれ"
"1-n1","のろい"
"1-n1","ギガドレイン"
"1-n1","こらえる"
"1-n1","あまえる"
"1-n1","ねをはる"
"1-n1","くさぶえ"
"1-n1","マジカルリーフ"
"1-n1","リーフストーム"
"1-n1","パワーウィップ"
"1-n1","グラスフィールド"
"1-n1","しめつける"
"1-n1","いびき"
"1-n1","はたきおとす"
"1-n1","くさのちかい"
"1-n2","たいあたり"
"1-n2","なきごえ"
"1-n2","やどりぎのタネ"
"1-n2","つるのムチ"
"1-n2","どくのこな"
"1-n2","ねむりごな"
"1-n2","とっしん"
"1-n2","はっぱカッター"
"1-n2","あまいかおり"
"1-n2","せいちょう"
"1-n2","すてみタックル"
"1-n2","なやみのタネ"
"1-n2","こうごうせい"
"1-n2","ソーラービーム"
"1-n2","ふるいたてる"
"1-n2","どくどく"
"1-n2","ベノムショック"
"1-n2","めざめるパワー"
"1-n2","にほんばれ"
"1-n2","ひかりのかべ"
"1-n2","まもる"
"1-n2","しんぴのまもり"
"1-n2","やつあたり"
"1-n2","おんがえし"
"1-n2","かげぶんしん"
"1-n2","ヘドロばくだん"
"1-n2","からげんき"
"1-n2","ねむる"
"1-n2","メロメロ"
"1-n2","りんしょう"
"1-n2","エコーボイス"
"1-n2","エナジーボール"
"1-n2","つるぎのまい"
"1-n2","くさむすび"
"1-n2","いばる"
"1-n2","ねごと"
"1-n2","みがわり"
"1-n2","しぜんのちから"
"1-n2","ないしょばなし"
"1-n2","はなびらのまい"
"1-n2","ヘドロこうげき"
"1-n2","ロケットずつき"
"1-n2","ドわすれ"
"1-n2","のろい"
"1-n2","ギガドレイン"
"1-n2","こらえる"
"1-n2","あまえる"
"1-n2","ねをはる"
"1-n2","くさぶえ"
"1-n2","マジカルリーフ"
"1-n2","リーフストーム"
"1-n2","パワーウィップ"
"1-n2","グラスフィールド"
"1-n2","しめつける"
"1-n2","いびき"
"1-n2","はたきおとす"
"1-n2","タネばくだん"
"1-n2","くさのちかい"
"1-n3","はなびらのまい"
"1-n3","たいあたり"
"1-n3","なきごえ"
"1-n3","やどりぎのタネ"
"1-n3","つるのムチ"
"1-n3","どくのこな"
"1-n3","ねむりごな"
"1-n3","とっしん"
"1-n3","はっぱカッター"
"1-n3","あまいかおり"
"1-n3","せいちょう"
"1-n3","すてみタックル"
"1-n3","なやみのタネ"
"1-n3","こうごうせい"
"1-n3","はなふぶき"
"1-n3","ソーラービーム"
"1-n3","ふるいたてる"
"1-n3","ほえる"
"1-n3","どくどく"
"1-n3","ベノムショック"
"1-n3","めざめるパワー"
"1-n3","にほんばれ"
"1-n3","はかいこうせん"
"1-n3","ひかりのかべ"
"1-n3","まもる"
"1-n3","しんぴのまもり"
"1-n3","やつあたり"
"1-n3","じしん"
"1-n3","おんがえし"
"1-n3","かげぶんしん"
"1-n3","ヘドロばくだん"
"1-n3","からげんき"
"1-n3","ねむる"
"1-n3","メロメロ"
"1-n3","りんしょう"
"1-n3","エコーボイス"
"1-n3","エナジーボール"
"1-n3","ギガインパクト"
"1-n3","つるぎのまい"
"1-n3","じならし"
"1-n3","くさむすび"
"1-n3","いばる"
"1-n3","ねごと"
"1-n3","みがわり"
"1-n3","しぜんのちから"
"1-n3","ないしょばなし"
"1-n3","ヘドロこうげき"
"1-n3","ロケットずつき"
"1-n3","ドわすれ"
"1-n3","のろい"
"1-n3","ギガドレイン"
"1-n3","こらえる"
"1-n3","あまえる"
"1-n3","ねをはる"
